state_id,state_name,date,day,total_positive,positive_per_100k,positive_increase,positive_increase_per_100k,population_18_plus
SC,South Carolina,2020-07-03,3,41532,1028.6484487673283,1831,45.3494970069580,4037531
SD,South Dakota,2020-07-03,3,6978,1045.3024306502207,85,12.7329760110732,667558
TN,Tennessee,2020-07-03,3,48712,915.7900653923589,1822,34.2537670213680,5319123
TX,Texas,2020-07-03,3,183532,849.8397694654736,7555,34.9832152339192,21596071
UT,Utah,2020-07-03,3,23866,1049.1591692185685,596,26.2004049633062,2274774
VA,Virginia,2020-07-03,3,64393,964.7366888944788,658,9.8581637956388,6674671
VT,Vermont,2020-07-03,3,1238,242.7527138106294,9,1.7647612474117,509984
WA,Washington,2020-07-03,3,38632,649.0774605197190,443,7.4430864312030,5951832
WI,Wisconsin,2020-07-03,3,33431,733.8058846266888,622,13.6528150590111,4555837
WV,West Virginia,2020-07-03,3,3126,218.2077091680744,73,5.0957014616985,1432580
WY,Wyoming,2020-07-03,3,1582,355.4856468737711,32,7.1906072692545,445025
AK,Alaska,2020-07-04,4,1114,201.9718544787349,49,8.8838607445763,551562
AL,Alabama,2020-07-04,4,42862,1123.5480863220039,997,26.1345117368074,3814879
AR,Arkansas,2020-07-04,4,23209,1001.4027145611782,587,25.3273899542165,2317649
AZ,Arizona,2020-07-04,4,94553,1676.9232706468285,2695,47.7965608113249,5638481
CA,California,2020-07-04,4,257388,840.6542358570314,9153,29.8945880180871,30617582
CO,Colorado,2020-07-04,4,33866,752.7087491001212,247,5.4898441217661,4499217
CT,Connecticut,2020-07-04,4,46717,1646.2127803225473,71,2.5018966843526,2837847
DC,Delaware,2020-07-04,4,10447,1356.4150237862767,12,1.5580530569001,770192
DE,District of Columbia,2020-07-04,4,11996,2076.9381264272890,73,12.6389199090690,577581
FL,Florida,2020-07-04,4,186530,1081.4707584871075,11330,65.6895067477560,17247808
GA,Georgia,2020-07-04,4,93319,1150.1635167476794,2826,34.8306571901643,8113542
HI,Hawaii,2020-07-04,4,975,87.3652782606514,29,2.5985569944194,1116004
IA,Iowa,2020-07-04,4,31041,1278.3390693381884,612,25.2035537010719,2428229
ID,Idaho,2020-07-04,4,6994,522.3831546744105,401,29.9507642299741,1338864
IL,Illinois,2020-07-04,4,147734,1499.2369554288201,862,8.7477646011050,9853946
IN,Indiana,2020-07-04,4,47432,918.4692050822531,517,10.0111439329466,5164245
KS,Kansas,2020-07-04,4,15919,719.3194593558975,929,41.9779997324976,2213064
KY,Kentucky,2020-07-04,4,16376,472.6388405455781,297,8.5719183953369,3464802
LA,Louisiana,2020-07-04,4,63289,1777.1998144426935,1728,48.5234603067986,3561164
MA,Massachusetts,2020-07-04,4,109838,1982.7416740572554,210,3.7908169445185,5539703
MD,Maryland,2020-07-04,4,69341,1471.8977506440786,380,8.0662399625726,4710993
ME,Maine,2020-07-04,4,3397,310.1235199065156,24,2.1910404703434,1095370
MI,Michigan,2020-07-04,4,72581,925.4329125208914,406,5.1766407528621,7842924
MN,Minnesota,2020-07-04,4,37624,867.6171314258701,414,9.5469246334869,4336475
MO,Missouri,2020-07-04,4,23215,487.0099560652616,385,8.0766242983039,4766843
MS,Mississippi,2020-07-04,4,30674,1346.7886331285240,1904,83.5980164789956,2277566
MT,Montana,2020-07-04,4,1167,138.8971542151180,39,4.6418072102739,840190
NC,North Carolina,2020-07-04,4,71654,875.1773616164118,1413,17.2582913998380,8187369
ND,North Dakota,2020-07-04,4,3774,648.5750767755473,57,9.7956490133032,581891
NE,Nebraska,2020-07-04,4,19660,1348.1136694337511,208,14.2628506226969,1458334
NH,New Hampshire,2020-07-04,4,5857,530.3053624492738,35,3.1689751896405,1104458
NJ,New Jersey,2020-07-04,4,173033,2491.9739178974862,291,4.1909023718491,6943612
NM,New Mexico,2020-07-04,4,13063,805.8650541551434,287,17.7052185977590,1620991
NV,Nevada,2020-07-04,4,21575,903.6584870390452,857,35.8950323704501,2387517
NY,New York,2020-07-04,4,396598,2571.0940922753857,726,4.7065651137725,15425262
OH,Ohio,2020-07-04,4,56183,616.6447208624311,926,10.1634482231033,9111081
OK,Oklahoma,2020-07-04,4,15645,520.6785428189460,580,19.3028798232655,3004733
OR,Oregon,2020-07-04,4,9930,296.3139794251270,294,8.7730422911367,3351175
PA,Pennsylvania,2020-07-04,4,89375,879.0370298098546,634,6.2356305107631,10167376
RI,Rhode Island,2020-07-04,4,17084,1998.4418610636053,27,3.1583897359352,854866
SC,South Carolina,2020-07-04,4,43386,1074.5676008431886,1854,45.9191520758602,4037531
SD,South Dakota,2020-07-04,4,7028,1052.7924165390872,50,7.4899858888666,667558
TN,Tennessee,2020-07-04,4,50140,942.6365962960435,1428,26.8465309036847,5319123
TX,Texas,2020-07-04,4,191790,888.0782064478303,8258,38.2384369823567,21596071
UT,Utah,2020-07-04,4,24542,1078.8764070628555,676,29.7172378442869,2274774
VA,Virginia,2020-07-04,4,65109,975.4638093772712,716,10.7271204827923,6674671
VT,Vermont,2020-07-04,4,1240,243.1448829767208,2,0.3921691660915,509984
WA,Washington,2020-07-04,4,38863,652.9586184556285,231,3.8811579359095,5951832
WI,Wisconsin,2020-07-04,4,34207,750.8389786552943,776,17.0330940286055,4555837
WV,West Virginia,2020-07-04,4,3141,219.2547711122590,15,1.0470619441846,1432580
WY,Wyoming,2020-07-04,4,1606,360.8786023257120,24,5.3929554519409,445025
AK,Alaska,2020-07-05,5,1141,206.8670430522770,27,4.8951885735420,551562
AL,Alabama,2020-07-05,5,43953,1152.1466342707069,1091,28.5985479487030,3814879
AR,Arkansas,2020-07-05,5,23209,1001.4027145611782,587,25.3273899542165,2317649
AZ,Arizona,2020-07-05,5,98089,1739.6351960749713,3536,62.7119254281428,5638481
CA,California,2020-07-05,5,265985,868.7328738108712,8597,28.0786379538397,30617582
CO,Colorado,2020-07-05,5,34065,757.1317409229206,199,4.4229918227994,4499217
CT,Connecticut,2020-07-05,5,46717,1646.2127803225473,71,2.5018966843526,2837847
DC,Delaware,2020-07-05,5,10482,1360.9593452022353,35,4.5443214159586,770192
DE,District of Columbia,2020-07-05,5,12128,2099.7920637971124,132,22.8539373698235,577581
FL,Florida,2020-07-05,5,196386,1138.6142517356408,9856,57.1434932485334,17247808
GA,Georgia,2020-07-05,5,95516,1177.2417028222692,2197,27.0781860745899,8113542
HI,Hawaii,2020-07-05,5,999,89.5158081870674,24,2.1505299264160,1116004
IA,Iowa,2020-07-05,5,31353,1291.1879398524604,312,12.8488705142719,2428229
ID,Idaho,2020-07-05,5,7370,550.4666642765807,376,28.0835096021702,1338864
IL,Illinois,2020-07-05,5,148373,1505.7216672386879,639,6.4847118098678,9853946
IN,Indiana,2020-07-05,5,48008,929.6228199862710,576,11.1536149040179,5164245
KS,Kansas,2020-07-05,5,15919,719.3194593558975,929,41.9779997324976,2213064
KY,Kentucky,2020-07-05,5,16376,472.6388405455781,297,8.5719183953369,3464802
LA,Louisiana,2020-07-05,5,65226,1831.5921423444694,1937,54.3923279017759,3561164
MA,Massachusetts,2020-07-05,5,109974,1985.1966793165626,136,2.4550052593072,5539703
MD,Maryland,2020-07-05,5,69632,1478.0747922996277,291,6.1770416555491,4710993
ME,Maine,2020-07-05,5,3415,311.7668002592731,18,1.6432803527575,1095370
MI,Michigan,2020-07-05,5,72941,930.0230373263849,360,4.5901248054935,7842924
MN,Minnesota,2020-07-05,5,38136,879.4239560933708,512,11.8068246675007,4336475
MO,Missouri,2020-07-05,5,23436,491.6461481949374,221,4.6361921296758,4766843
MS,Mississippi,2020-07-05,5,30900,1356.7115069332788,226,9.9228738047547,2277566
MT,Montana,2020-07-05,5,1212,144.2530856115879,45,5.3559313964698,840190
NC,North Carolina,2020-07-05,5,72983,891.4096824022467,1329,16.2323207858349,8187369
ND,North Dakota,2020-07-05,5,3810,654.7618024681598,36,6.1867256926125,581891
NE,Nebraska,2020-07-05,5,19827,1359.5650927702433,167,11.4514233364922,1458334
NH,New Hampshire,2020-07-05,5,5857,530.3053624492738,35,3.1689751896405,1104458
NJ,New Jersey,2020-07-05,5,173402,2497.2881549257073,369,5.3142370282210,6943612
NM,New Mexico,2020-07-05,5,13256,817.7713509822078,193,11.9062968270644,1620991
NV,Nevada,2020-07-05,5,22418,938.9671361502347,843,35.3086491111896,2387517
NY,New York,2020-07-05,5,397131,2574.5494630820533,533,3.4553708066677,15425262
OH,Ohio,2020-07-05,5,57151,627.2691462187637,968,10.6244253563326,9111081
OK,Oklahoma,2020-07-05,5,15928,530.0970169396083,283,9.4184741206623,3004733
OR,Oregon,2020-07-05,5,10230,305.2660633956747,300,8.9520839705476,3351175
PA,Pennsylvania,2020-07-05,5,89854,883.7481765206677,479,4.7111467108131,10167376
RI,Rhode Island,2020-07-05,5,17108,2001.2493186066588,24,2.8074575430535,854866
SC,South Carolina,2020-07-05,5,44847,1110.7530815243276,1461,36.1854806811390,4037531
SD,South Dakota,2020-07-05,5,7063,1058.0354066612939,35,5.2429901222066,667558
TN,Tennessee,2020-07-05,5,51431,966.9075146410414,1291,24.2709183449979,5319123
TX,Texas,2020-07-05,5,195239,904.0487040443607,3449,15.9704975965304,21596071
UT,Utah,2020-07-05,5,24952,1096.9001755778816,410,18.0237685150261,2274774
VA,Virginia,2020-07-05,5,65748,985.0373149478079,639,9.5735055705367,6674671
VT,Vermont,2020-07-05,5,1251,245.3018133902240,11,2.1569304135032,509984
WA,Washington,2020-07-05,5,39156,657.8814724609162,293,4.9228540052878,5951832
WI,Wisconsin,2020-07-05,5,34740,762.5382558682411,533,11.6992772129468,4555837
WV,West Virginia,2020-07-05,5,3262,227.7010707953483,121,8.4462996830893,1432580
WY,Wyoming,2020-07-05,5,1634,367.1703836863098,28,6.2917813605977,445025
AK,Alaska,2020-07-06,6,1168,211.7622316258190,27,4.8951885735420,551562
AL,Alabama,2020-07-06,6,44878,1176.3937991218070,925,24.2471648511001,3814879
AR,Arkansas,2020-07-06,6,24253,1046.4483621117779,1044,45.0456475505998,2317649
AZ,Arizona,2020-07-06,6,101441,1799.0838312659030,3352,59.4486351909317,5638481
